"comid","in_drb","huc08"
9445941,f,"02040301"
9445943,f,"02040301"
9445947,f,"02040301"
9445949,f,"02040301"
9445951,f,"02040301"
9445953,f,"02040301"
9445959,f,"02040301"
9445961,f,"02040301"
9445965,f,"02040301"
9445973,f,"02040301"
9445975,f,"02040301"
9445977,f,"02040301"
9445985,f,"02040301"
9445987,f,"02040301"
9445993,f,"02040301"
9445999,f,"02040301"
9446011,f,"02040301"
9446013,f,"02040301"
9446015,f,"02040301"
9446027,f,"02040301"
9446029,f,"02040301"
9446031,f,"02040301"
9446033,f,"02040301"
9446035,f,"02040301"
9446063,f,"02040301"
9446067,f,"02040301"
9446069,f,"02040301"
9446075,f,"02040301"
9446079,f,"02040301"
9446081,f,"02040301"
9446085,f,"02040301"
9446097,f,"02040301"
9446101,f,"02040301"
9446105,f,"02040301"
9446113,f,"02040301"
9446115,f,"02040301"
9446117,f,"02040301"
9446125,f,"02040301"
9446127,f,"02040301"
9446129,f,"02040301"
9446133,f,"02040301"
9446153,f,"02040301"
9446157,f,"02040301"
9446163,f,"02040301"
9446165,f,"02040301"
9446177,f,"02040301"
9446181,f,"02040301"
9446185,f,"02040301"
9446187,f,"02040301"
9446189,f,"02040301"
9446201,f,"02040301"
9446203,f,"02040301"
9446205,f,"02040301"
9446209,f,"02040301"
9446213,f,"02040301"
9446215,f,"02040301"
9446235,f,"02040301"
9446241,f,"02040301"
9446243,f,"02040301"
9446245,f,"02040301"
9446247,f,"02040301"
9446259,f,"02040301"
9446263,f,"02040301"
9446265,f,"02040301"
9446275,f,"02040301"
9446283,f,"02040301"
9446287,f,"02040301"
9446291,f,"02040301"
9446293,f,"02040301"
9446295,f,"02040301"
9446297,f,"02040301"
9446299,f,"02040301"
9446305,f,"02040301"
9446307,f,"02040301"
9446309,f,"02040301"
9446313,f,"02040301"
9446315,f,"02040301"
9446317,f,"02040301"
9446319,f,"02040301"
9446321,f,"02040301"
9446323,f,"02040301"
9446325,f,"02040301"
9446327,f,"02040301"
9446329,f,"02040301"
9446331,f,"02040301"
9446333,f,"02040301"
9446335,f,"02040301"
9446337,f,"02040301"
9446339,f,"02040301"
9446341,f,"02040301"
9446345,f,"02040301"
9446349,f,"02040301"
9446351,f,"02040301"
9446367,f,"02040301"
9446377,f,"02040301"
9446379,f,"02040301"
9446385,f,"02040301"
9446389,f,"02040301"
9446391,f,"02040301"
9446405,f,"02040301"
9446411,f,"02040301"
9446423,f,"02040301"
9446425,f,"02040301"
9446431,f,"02040301"
9446445,f,"02040301"
9446451,f,"02040301"
9446453,f,"02040301"
9446455,f,"02040301"
9446461,f,"02040301"
9446475,f,"02040301"
9446481,f,"02040301"
9446483,f,"02040301"
9446491,f,"02040301"
9446493,f,"02040301"
9446497,f,"02040301"
9446507,f,"02040301"
9446509,f,"02040301"
9446513,f,"02040301"
9446515,f,"02040301"
9446517,f,"02040301"
9446519,f,"02040301"
9446521,f,"02040301"
9446523,f,"02040301"
9446537,f,"02040301"
9446545,f,"02040301"
9446551,f,"02040301"
9446553,f,"02040301"
9446555,f,"02040301"
9446559,f,"02040301"
9446565,f,"02040301"
9446577,f,"02040301"
9446597,f,"02040301"
9446599,f,"02040301"
9446603,f,"02040301"
9446605,f,"02040301"
9446623,f,"02040301"
9446641,f,"02040301"
9446651,f,"02040301"
9446653,f,"02040301"
9446655,f,"02040301"
9446661,f,"02040301"
9446665,f,"02040301"
9446671,f,"02040301"
9446677,f,"02040301"
9446681,f,"02040301"
9446691,f,"02040301"
9446693,f,"02040301"
9446699,f,"02040301"
9446707,f,"02040301"
9446711,f,"02040301"
9446729,f,"02040301"
9446731,f,"02040301"
9446733,f,"02040301"
9446741,f,"02040301"
9446747,f,"02040301"
9446753,f,"02040301"
9446759,f,"02040301"
9446761,f,"02040301"
9446765,f,"02040301"
9446769,f,"02040301"
9446771,f,"02040301"
9446779,f,"02040301"
9446781,f,"02040301"
9446799,f,"02040301"
9446803,f,"02040301"
9446815,f,"02040301"
9446839,f,"02040301"
9446841,f,"02040301"
9446851,f,"02040301"
9446869,f,"02040301"
9446873,f,"02040301"
9446879,f,"02040301"
9446881,f,"02040301"
9446885,f,"02040301"
9446891,f,"02040301"
9446903,f,"02040301"
9446909,f,"02040301"
9446911,f,"02040301"
9446919,f,"02040301"
9446925,f,"02040301"
9446927,f,"02040301"
9446937,f,"02040301"
9446943,f,"02040301"
9446945,f,"02040301"
9446947,f,"02040301"
9446961,f,"02040301"
9446965,f,"02040301"
9446969,f,"02040301"
9446985,f,"02040301"
9446987,f,"02040301"
9446989,f,"02040301"
9446993,f,"02040301"
9446995,f,"02040301"
9446997,f,"02040301"
9447001,f,"02040301"
9447003,f,"02040301"
9447015,f,"02040301"
9447025,f,"02040301"
9447029,f,"02040301"
9447031,f,"02040301"
9447033,f,"02040301"
9447037,f,"02040301"
9447039,f,"02040301"
9447041,f,"02040301"
9447045,f,"02040301"
9447057,f,"02040301"
9447069,f,"02040301"
9447071,f,"02040301"
9447073,f,"02040301"
9447077,f,"02040301"
9447081,f,"02040301"
9447085,f,"02040301"
9447091,f,"02040301"
9447093,f,"02040301"
9447095,f,"02040301"
9447107,f,"02040301"
9447113,f,"02040301"
9447127,f,"02040301"
9447131,f,"02040301"
9447133,f,"02040301"
9447135,f,"02040301"
9447137,f,"02040301"
9447139,f,"02040301"
9447143,f,"02040301"
9447145,f,"02040301"
9447153,f,"02040301"
9447159,f,"02040301"
9447161,f,"02040301"
9447169,f,"02040301"
9447173,f,"02040301"
9447179,f,"02040301"
9447181,f,"02040301"
9447185,f,"02040301"
9447189,f,"02040301"
9447205,f,"02040301"
9447207,f,"02040301"
9447221,f,"02040301"
9447225,f,"02040301"
9447231,f,"02040301"
9447233,f,"02040301"
9447243,f,"02040301"
9447257,f,"02040301"
9447263,f,"02040301"
9447273,f,"02040301"
9447275,f,"02040301"
9447277,f,"02040301"
9447281,f,"02040301"
9447287,f,"02040301"
9447307,f,"02040301"
9447311,f,"02040301"
9447315,f,"02040301"
9447323,f,"02040301"
9447325,f,"02040301"
9447343,f,"02040301"
9447345,f,"02040301"
9447349,f,"02040301"
9447359,f,"02040301"
9447363,f,"02040301"
9447371,f,"02040301"
9447373,f,"02040301"
9447383,f,"02040301"
9447387,f,"02040301"
9447399,f,"02040301"
9447409,f,"02040301"
9447411,f,"02040301"
9447423,f,"02040301"
9447425,f,"02040301"
9447427,f,"02040301"
9447433,f,"02040301"
9447441,f,"02040301"
9447449,f,"02040301"
9447455,f,"02040301"
9447471,f,"02040301"
9447473,f,"02040301"
9447481,f,"02040301"
9447483,f,"02040301"
9447485,f,"02040301"
9447511,f,"02040301"
9447513,f,"02040301"
9447515,f,"02040301"
9447521,f,"02040301"
9447523,f,"02040301"
9447529,f,"02040301"
9447531,f,"02040301"
9447553,f,"02040301"
9447559,f,"02040301"
9447561,f,"02040301"
9447563,f,"02040301"
9447569,f,"02040301"
9447599,f,"02040301"
9447601,f,"02040301"
9447609,f,"02040301"
9447617,f,"02040301"
